ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0141061	disruption of cell in another organism	20/2449	46/12472	0.000190200904766406	0.00214015976035477	0.00143765301302869	NINJ1/MICA/CLEC7A/LYZ/C5/GBP1/GBP2/NKG7/GBP3/HAMP/APOL1/TREM1/CXCL6/IFNG/GZMB/PRF1/GBP5/GBP7/CCL13/S100A12	20
GO:0005975	carbohydrate metabolic process	119/2449	449/12472	0.000193305260260136	0.00217053034371758	0.00145805446225123	PTPN2/HIF1A/NDST2/CHI3L2/DDB1/B4GALT1/EPM2AIP1/KL/GPD2/DSE/DYRK2/BPGM/RUBCNL/GK5/MLEC/RPE/MAN2A2/CRTC2/NR3C1/ST3GAL3/GPI/GUSB/TKFC/NPC1/GK/ME1/SLC39A14/PFKFB2/STBD1/B4GALT5/GCNT4/PPP1R3B/DDIT4/PGM2/FUCA1/SLC2A6/CHST2/CBFA2T3/ERFE/FUOM/NLN/SORD/CHID1/ST3GAL4/NFKB1/FBP1/CHST15/NHLRC1/PMAIP1/G6PC3/GCLC/DCXR/HRH1/MIDN/XYLB/SESN2/PCK2/PFKFB3/RPEL1/TP53/HK2/GPD1L/GSTO2/AKR1B1/IDH2/PLEK/CHST13/TNF/NNMT/LCTL/GDPGP1/NEU4/SDHAF3/CHST3/GALM/MLXIPL/NR1D1/FUT7/SLC2A3/PDK2/IER3/C1QTNF1/FUT10/GALNT3/EXT1/P2RY1/GPT2/IFNG/SLC2A8/IRS1/ATF3/UCP2/LIPA/DGAT2/KCNQ1/B4GALNT1/CHIT1/SORBS1/ACACB/GCKR/P2RY6/HK3/KHK/IGFBP3/ST8SIA1/SDS/ALDH1B1/B4GALT6/IGFBP4/NUPR1/LRP5/APOD/LEP/AMY1A/HAS1/PHLDA2/SMPD3/B3GALNT1/ST6GALNAC3	119
GO:0019915	lipid storage	30/2449	81/12472	0.000195697246513598	0.00218821388794745	0.00146993338882206	PTPN2/NFKBIA/ITGAV/STARD4/SQLE/ZC3H12A/NPC1/FITM2/SOAT1/NFKB1/EHD1/TNF/MIR146A/FFAR2/APOC4/TTC39B/SCARB1/TREM2/APOE/CD36/ACVR1C/LIPA/DGAT2/B4GALNT1/ACACB/PPARG/ITGB3/MSR1/LEP/MIR34A	30
GO:0072006	nephron development	30/2449	81/12472	0.000195697246513598	0.00218821388794745	0.00146993338882206	BASP1/JAG1/CFLAR/PDGFRA/VEGFA/ACTA2/HS3ST3B1/FMN1/SULF2/BCL2/GREM1/NOTCH3/PECAM1/CTNNBIP1/MTSS1/PTPRO/GLI3/EXT1/DCHS1/HES1/EDNRB/HS3ST3A1/ITGA3/ITGB3/PDGFRB/LIF/SOX8/DLL1/LAMA5/LGR4	30
GO:0008544	epidermis development	62/2449	206/12472	0.000196277508412222	0.00219012986469971	0.0014712204468267	UGCG/LAMA3/RELA/LAMC2/CLIC4/JAG1/EZH2/TCHH/CFLAR/NAB1/ERRFI1/OVOL2/CASP3/FOSL2/IFT172/MAFG/FZD6/CSTA/ACVR1B/ALDH3A2/NAB2/LAMB3/WNT5A/NFKBIZ/PRKCH/HLA-DRB1/PDGFA/CYP27B1/KLF7/TNF/APCDD1/FLOT2/BCL2/MYCL/INTU/EXT1/EPHA2/ZFP36/HES1/MAFF/PALLD/SNAI1/KCNQ1/PTCH2/INHBA/IRF6/EDA2R/EREG/LHX2/IL18/CDH23/ZBED2/NGFR/TGM3/GLI1/DSP/LRP4/DLL1/MET/LAMA5/LGR4/IL1A	62
GO:0045625	regulation of T-helper 1 cell differentiation	8/2449	11/12472	0.000203906117574151	0.00227052217406892	0.00152522400671506	CD80/CCL19/RIPK2/JAK3/HLX/ASCL2/IL27/TNFSF4	8
GO:0034765	regulation of monoatomic ion transmembrane transport	74/2449	256/12472	0.00020470541782828	0.00227469339810844	0.00152802602781625	SCN1B/STOM/PPP3CC/CLIC4/KCNJ2/CACNB3/KCNC4/P2RX4/KCNE5/CALM2/KCNK6/PPIF/LYN/PDE4B/GPD1L/PML/KCNK5/KCNC3/KCNQ3/HVCN1/KCNH3/EDN1/KCNMA1/BCL2/NEDD4/KCNMB1/KEL/CABP4/KCNF1/PDE4D/HAMP/TPCN1/FGF13/KCNQ4/CACNA1A/DMD/KCNJ1/GSTM2/CASQ1/TCAF2/ATP1B2/TREM2/FGF11/P2RX5/IFNG/KCNJ5/EPHB2/CD19/KCNE1/KCNJ10/CACNA2D3/NEDD4L/CCL2/CACNA1E/ANK3/SCN8A/ATP1B1/KCNN4/KCNQ1/CCR2/STAC/CEMIP/TMEM37/KCNAB1/P2RY6/HECW2/SCN4B/ITGB3/TSPAN13/ANO9/JPH4/ANK2/CLIC3/CXCL10	74
GO:1903557	positive regulation of tumor necrosis factor superfamily cytokine production	34/2449	96/12472	0.000207665754819357	0.00230281114453929	0.00154691413309919	CCL19/RIPK2/CLU/RASGRP1/MAPKAPK2/CARD9/TLR1/CD86/WNT5A/CLEC7A/TNFRSF8/LILRA5/TMEM106A/CD84/LGALS9/TLR2/SPN/IL12B/ADAM8/IFIH1/PYCARD/AKAP12/RIGI/IFNG/CCL3/EPHB2/CD36/ORM2/CCR2/ORM1/IL23A/LEP/THBS1/IL1A	34
GO:0034104	negative regulation of tissue remodeling	10/2449	16/12472	0.000208759571186886	0.00230539435727208	0.00154864940709013	GPR137B/CD38/TNFAIP3/INPP5D/GREM1/TNFRSF11B/HAMP/CST3/TMEM119/PPARG	10
GO:0045655	regulation of monocyte differentiation	10/2449	16/12472	0.000208759571186886	0.00230539435727208	0.00154864940709013	CD4/CD74/CDK6/IRF7/INPP5D/FES/HLA-DRB1/CTNNBIP1/DCSTAMP/CSF1	10
