category	subcategory	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
Environmental Information Processing	Signal transduction	hsa04015	Rap1 signaling pathway	45/1346	212/9378	0.00387231021211743	0.0199879541831356	0.0146260633398863	7410/5332/5217/9693/3937/23566/83660/5156/5900/7422/805/3689/5330/5600/5154/5606/10000/9732/135/999/112/260425/56034/23236/51466/4301/10636/3684/3082/5028/1436/1969/136/27040/5909/3690/1944/5159/4804/2770/4233/9771/7057/1435/2846	45
Environmental Information Processing	Signal transduction	hsa04340	Hedgehog signaling pathway	16/1346	56/9378	0.00429905246265541	0.0216643383339979	0.0158527471989669	8454/57154/51684/11127/84455/91653/596/23288/1454/2737/102800317/132884/8643/2121/894/2735	16
Organismal Systems	Digestive system	hsa04971	Gastric acid secretion	20/1346	76/9378	0.00432052331447253	0.0216643383339979	0.0158527471989669	6752/5332/3759/805/815/1131/5330/112/4638/23236/3758/482/3766/3274/481/3784/480/3710/2770/760	20
Metabolism	Amino acid metabolism	hsa00380	Tryptophan metabolism	13/1346	42/9378	0.00459400921095961	0.0227112286344623	0.0166188027794536	3620/169355/1892/224/3033/4128/23498/125061/847/501/219/4129/6999	13
Organismal Systems	Immune system	hsa04612	Antigen processing and presentation	21/1346	82/9378	0.00494538731810681	0.0241087631757707	0.0176414401406149	1514/3108/3115/3113/4261/920/3109/972/3123/3122/3119/7124/6890/3458/3127/5641/3310/3111/3112/3120/3821	21
Organismal Systems	Immune system	hsa04622	RIG-I-like receptor signaling pathway	19/1346	72/9378	0.00516382079153424	0.0248287821620345	0.0181683096342373	5970/4792/29110/7706/26007/10010/79132/4790/3665/5600/57169/54941/7124/3593/64135/23586/3576/9636/3627	19
Human Diseases	Infectious disease: viral	hsa05163	Human cytomegalovirus infection	47/1346	227/9378	0.00527651090484344	0.0249192003360399	0.018234472580578	5970/5533/5332/4792/29110/3685/4775/2002/2790/5734/836/5156/7422/805/1021/115004/5330/4790/5600/7157/10000/6352/7124/6890/112/6351/7188/1029/23236/94235/1978/2793/54331/6348/9560/388372/1234/6347/3576/3690/356/3710/2770/4773/6349/414062/55970	47
Human Diseases	Immune disease	hsa05340	Primary immunodeficiency	12/1346	38/9378	0.00532461545641879	0.0249192003360399	0.018234472580578	3718/958/4261/3575/920/100/6890/930/29760/29851/23495/973	12
Organismal Systems	Development and regeneration	hsa04360	Axon guidance	39/1346	184/9378	0.00702068030062776	0.0324244577042151	0.0237263987999055	5533/4775/10509/10512/8440/10507/3985/1020/2047/815/2051/5058/7474/81029/9423/2242/5364/91653/8633/27289/3984/5361/54910/10371/2048/1969/7869/6091/22885/84628/10501/57556/91584/1944/2049/2770/4773/4233/3983	39
Human Diseases	Cancer: overview	hsa05205	Proteoglycans in cancer	42/1346	204/9378	0.00889384738675431	0.0405420835422177	0.0296664219052365	7410/3091/1514/3678/3685/2002/836/7422/6385/8323/5962/815/960/5058/5600/7474/81029/7157/10000/5329/7124/7097/8322/3593/2017/3082/7448/3339/1839/288/2817/3673/7023/1277/3690/3693/356/3710/4233/287/7057/4313	42
Human Diseases	Infectious disease: viral	hsa05162	Measles	30/1346	136/9378	0.0095518224163134	0.0429832008734103	0.0314526945962277	5970/4792/29110/3718/6504/7128/836/1017/1021/4790/3665/7157/10000/3559/596/7097/3593/64135/5610/23586/51284/3310/4599/4600/9134/356/894/10332/3560/3552	30
